Metric,Lasso,Ridge,Elastic Net,Random Forest,SVR,XGBoost
Testing MAE,9253120.7985,12762970.059224209,24057468.760450825,16074267.076949092,80616761.76550749,21184637.980285298
Testing MSE,312663152418172.4375,953343878409448.6,5100805703328646.0,1519640274080933.2,4.783196997861619e+16,3693886338807877.5
Testing R2,0.9932,0.979278263081141,0.889129666375016,0.966969331125989,-0.0396683931733981,0.9197102507768246
Testing RMSE,17682283.5748,30876267.23568522,71419925.11427498,38982563.71867983,218705212.50902137,60777350.54119978
Training MAE,2039836.1491,1590683.3774654085,1913215.1371675164,2197043.446834417,46933333.62151847,196.34926195291263
Training MSE,8469199006348.0986,4928015263464.192,6511005711563.495,9048729118478.826,1.806182821491124e+16,87529.47427195821
Training R2,0.9995,0.9997040678555343,0.9996090077282965,0.9994566149515459,-0.08463047917822863,0.9999999999947438
Training RMSE,2910188.8266,2219913.3459358704,2551667.241542967,3008110.556226088,134394301.27394256,295.8538055728846
